ip,cn,id,name,country,dns,port_forward,protocol,offline
173.239.249.60,ecuador402,ec_ecuador-pf,Ecuador,EC,ec-ecuador-pf.privacy.network,True,ovpnudp,
173.239.249.59,ecuador402,ec_ecuador-pf,Ecuador,EC,ec-ecuador-pf.privacy.network,True,wg,
45.133.172.219,manchester425,uk_manchester,UK Manchester,GB,uk-manchester.privacy.network,True,ikev2,
45.133.172.194,manchester425,uk_manchester,UK Manchester,GB,uk-manchester.privacy.network,True,meta,
45.133.172.211,manchester425,uk_manchester,UK Manchester,GB,uk-manchester.privacy.network,True,ovpntcp,
45.133.172.205,manchester425,uk_manchester,UK Manchester,GB,uk-manchester.privacy.network,True,ovpnudp,
45.133.172.218,manchester425,uk_manchester,UK Manchester,GB,uk-manchester.privacy.network,True,wg,
156.146.41.15,milano402,italy,IT Milano,IT,italy.privacy.network,True,ikev2,
156.146.41.1,milano402,italy,IT Milano,IT,italy.privacy.network,True,meta,
156.146.41.21,milano402,italy,IT Milano,IT,italy.privacy.network,True,ovpntcp,
156.146.41.21,milano402,italy,IT Milano,IT,italy.privacy.network,True,ovpnudp,
156.146.41.12,milano402,italy,IT Milano,IT,italy.privacy.network,True,wg,
91.90.126.6,panama409,panama,Panama,PA,panama.privacy.network,True,ikev2,
91.90.126.2,panama409,panama,Panama,PA,panama.privacy.network,True,meta,
91.90.126.15,panama409,panama,Panama,PA,panama.privacy.network,True,ovpntcp,
91.90.126.17,panama409,panama,Panama,PA,panama.privacy.network,True,ovpnudp,
91.90.126.29,panama409,panama,Panama,PA,panama.privacy.network,True,wg,
196.196.53.107,riga406,lv,Latvia,LV,lv.privacy.network,True,ikev2,
196.196.53.98,riga406,lv,Latvia,LV,lv.privacy.network,True,meta,
196.196.53.106,riga406,lv,Latvia,LV,lv.privacy.network,True,ovpntcp,
196.196.53.103,riga406,lv,Latvia,LV,lv.privacy.network,True,ovpnudp,
196.196.53.100,riga406,lv,Latvia,LV,lv.privacy.network,True,wg,
181.41.206.187,denver428,us_denver,US Denver,US,us-denver.privacy.network,False,ikev2,
181.41.206.13,denver428,us_denver,US Denver,US,us-denver.privacy.network,False,meta,
181.41.206.184,denver428,us_denver,US Denver,US,us-denver.privacy.network,False,ovpntcp,
181.41.206.193,denver428,us_denver,US Denver,US,us-denver.privacy.network,False,ovpnudp,
181.41.206.194,denver428,us_denver,US Denver,US,us-denver.privacy.network,False,wg,
185.253.162.20,cyprus404,cyprus,Cyprus,CY,cyprus.privacy.network,True,ikev2,
185.253.162.15,cyprus404,cyprus,Cyprus,CY,cyprus.privacy.network,True,meta,
185.253.162.23,cyprus404,cyprus,Cyprus,CY,cyprus.privacy.network,True,ovpntcp,
185.253.162.21,cyprus404,cyprus,Cyprus,CY,cyprus.privacy.network,True,ovpnudp,
185.253.162.25,cyprus404,cyprus,Cyprus,CY,cyprus.privacy.network,True,wg,
84.239.41.149,pennsylvania403,us_pennsylvania-pf,US Pennsylvania,US,us-pennsylvania-pf.privacy.network,False,ikev2,
84.239.41.129,pennsylvania403,us_pennsylvania-pf,US Pennsylvania,US,us-pennsylvania-pf.privacy.network,False,meta,
84.239.41.133,pennsylvania403,us_pennsylvania-pf,US Pennsylvania,US,us-pennsylvania-pf.privacy.network,False,ovpntcp,
84.239.41.131,pennsylvania403,us_pennsylvania-pf,US Pennsylvania,US,us-pennsylvania-pf.privacy.network,False,ovpnudp,
84.239.41.147,pennsylvania403,us_pennsylvania-pf,US Pennsylvania,US,us-pennsylvania-pf.privacy.network,False,wg,
154.16.81.147,sydney433,aus,AU Sydney,AU,au-sydney.privacy.network,True,ikev2,
154.16.81.6,sydney433,aus,AU Sydney,AU,au-sydney.privacy.network,True,meta,
154.16.81.148,sydney433,aus,AU Sydney,AU,au-sydney.privacy.network,True,ovpntcp,
154.16.81.136,sydney433,aus,AU Sydney,AU,au-sydney.privacy.network,True,ovpnudp,
